src_vid,dst_vid
DB00193,SMP0000671
DB00193,SMP0000637
DB00195,SMP0000299
DB00199,SMP0000250
DB00201,SMP0000028
DB00207,SMP0000247
DB00208,SMP0000261
DB00208,SMP0000611
DB00213,SMP0000615
DB00213,SMP0000228
DB00214,SMP0000118
DB00215,SMP0000424
DB00215,SMP0000627
DB00227,SMP0000099
DB00232,SMP0000081
DB00238,SMP0000642
DB00238,SMP0000743
DB00252,SMP0000327
DB00252,SMP0000326
DB00252,SMP0000618
DB00254,SMP0000291
DB00256,SMP0000295
DB00264,SMP0000302
DB00266,SMP0000270
DB00266,SMP0000656
DB00270,SMP0000378
DB00272,SMP0000736
DB00275,SMP0000163
DB00277,SMP0000028
DB00278,SMP0000276
DB00279,SMP0000716
DB00280,SMP0000325
DB00281,SMP0000328
DB00281,SMP0000398
DB00281,SMP0000620
DB00282,SMP0000117
DB00283,SMP0058891
DB00285,SMP0000636
DB00295,SMP0000406
DB00295,SMP0000405
DB00295,SMP0000623
DB00295,SMP0000407
DB00295,SMP0000621
DB00295,SMP0000622
DB00296,SMP0000404
DB00297,SMP0000393
DB00300,SMP0000630
DB00302,SMP0000287
DB00308,SMP0000332
DB00309,SMP0000438
DB00310,SMP0000122
DB00313,SMP0000635
DB00316,SMP0000640
DB00316,SMP0000710
DB00317,SMP0000473
DB00318,SMP0000621
DB00318,SMP0000405
DB00327,SMP0000410
DB00328,SMP0000104
DB00333,SMP0000408
DB00333,SMP0000624
DB00335,SMP0000298
DB00338,SMP0000613
DB00338,SMP0000226
DB00341,SMP0059058
DB00342,SMP0060208
DB00343,SMP0000359
DB00352,SMP0000430
DB00352,SMP0000647
DB00354,SMP0058964
DB00360,SMP0000063
DB00360,SMP0000362
DB00360,SMP0000486
DB00360,SMP0000504
DB00360,SMP0000505
DB00360,SMP0000650
DB00360,SMP0000006
DB00360,SMP0000020
DB00360,SMP0000188
DB00360,SMP0000218
DB00360,SMP0000360
DB00360,SMP0000361
DB00360,SMP0000429
DB00360,SMP0000487
DB00360,SMP0000488
DB00360,SMP0000507
DB00360,SMP0000005
DB00360,SMP0000169
DB00360,SMP0000190
DB00360,SMP0000207
DB00360,SMP0000208
DB00360,SMP0000363
DB00360,SMP0000489
DB00360,SMP0000490
DB00360,SMP0000491
DB00360,SMP0000494
DB00360,SMP0000498
DB00360,SMP0000506
DB00360,SMP0000533
DB00360,SMP0063777
DB00361,SMP0000439
DB00366,SMP0058803
DB00368,SMP0000170
DB00368,SMP0000392
DB00368,SMP0000393
DB00368,SMP0000398
DB00368,SMP0000403
