src_vid,dst_vid
DB00157,BE0000305
DB00157,BE0000272
DB00157,BE0000081
DB00157,BE0000401
DB00157,BE0000224
DB00157,BE0000348
DB00157,BE0000580
DB00157,BE0000169
DB00157,BE0000213
DB00157,BE0000545
DB00157,BE0000550
DB00157,BE0000367
DB00157,BE0000684
DB00157,BE0000676
DB00157,BE0000173
DB00157,BE0000338
DB00157,BE0000493
DB00157,BE0000245
DB00157,BE0000295
DB00157,BE0000284
DB00157,BE0000427
DB00157,BE0000512
DB00157,BE0000596
DB00157,BE0000729
DB00157,BE0000243
DB00157,BE0000313
DB00157,BE0000376
DB00157,BE0000027
DB00157,BE0000737
DB00157,BE0000191
DB00157,BE0000648
DB00157,BE0000754
DB00157,BE0000089
DB00157,BE0000500
DB00157,BE0000485
DB00157,BE0000137
DB00157,BE0000525
DB00157,BE0000569
DB00157,BE0000093
DB00157,BE0000319
DB00157,BE0000037
DB00157,BE0000421
DB00157,BE0000065
DB00157,BE0000010
DB00157,BE0000096
DB00157,BE0000735
DB00157,BE0000587
DB00157,BE0000344
DB00157,BE0000252
DB00157,BE0004352
DB00157,BE0000227
DB00157,BE0000400
DB00157,BE0000360
DB00157,BE0000009
DB00157,BE0000522
DB00157,BE0002204
DB00157,BE0003539
DB00157,BE0003545
DB00157,BE0000652
DB00158,BE0000271
DB00158,BE0003405
DB00158,BE0000265
DB00158,BE0002176
DB00158,BE0000330
DB00158,BE0003658
DB00158,BE0001061
DB00158,BE0001066
DB00158,BE0001188
DB00158,BE0001067
DB00158,BE0001048
DB00158,BE0000730
DB00158,BE0000262
DB00159,BE0000017
DB00159,BE0000215
DB00159,BE0001007
DB00159,BE0000688
DB00159,BE0000986
DB00159,BE0001821
DB00159,BE0000888
DB00159,BE0000996
DB00159,BE0001023
DB00159,BE0000071
DB00159,BE0000248
DB00159,BE0000530
DB00159,BE0000316
DB00160,BE0000667
DB00160,BE0000151
DB00160,BE0000536
DB00160,BE0000789
DB00160,BE0000102
DB00160,BE0000294
DB00160,BE0000480
DB00160,BE0000253
DB00160,BE0000392
DB00160,BE0002318
DB00160,BE0002164
DB00160,BE0002166
DB00160,BE0003654
DB00160,BE0000544
DB00161,BE0000517
DB00161,BE0000223
DB00161,BE0000223
DB00161,BE0000544
DB00161,BE0000517
DB00161,BE0003654
DB00161,BE0005056
DB00162,BE0009878
DB00162,BE0000726
DB00162,BE0000570
DB00162,BE0000593
DB00162,BE0000513
DB00162,BE0000554
DB00162,BE0000900
DB00162,BE0002319
DB00162,BE0000583
DB00162,BE0002320
DB00162,BE0002321
DB00162,BE0000032
DB00162,BE0002322
DB00162,BE0002323
DB00162,BE0003480
DB00162,BE0000530
DB00162,BE0000786
DB00162,BE0000255
DB00162,BE0000301
DB00162,BE0000682
DB00162,BE0000532
DB00162,BE0000314
DB00162,BE0000505
DB00162,BE0009879
DB00162,BE0000076
DB00163,BE0000339
DB00163,BE0000256
DB00163,BE0000956
DB00163,BE0000872
DB00163,BE0000248
DB00163,BE0001132
DB00163,BE0002324
DB00163,BE0002325
DB00163,BE0002326
DB00163,BE0000814
DB00163,BE0000815
DB00163,BE0000810
DB00163,BE0000166
DB00163,BE0001184
DB00163,BE0000735
DB00163,BE0002390
DB00163,BE0002638
DB00163,BE0002189
DB00163,BE0000256
DB00163,BE0000339
DB00163,BE0009656
DB00163,BE0000643
DB00163,BE0000189
DB00163,BE0000119
DB00163,BE0000802
DB00163,BE0001168
DB00163,BE0000042
DB00165,BE0003543
DB00165,BE0000042
DB00165,BE0000278
DB00165,BE0003546
DB00165,BE0000530
DB00165,BE0003546
DB00165,BE0000040
DB00166,BE0000094
DB00166,BE0002327
DB00166,BE0002364
DB00166,BE0000573
DB00167,BE0000517
DB00167,BE0000721
DB00167,BE0000491
DB00167,BE0002328
DB00167,BE0003654
DB00167,BE0000582
DB00168,BE0000395
DB00168,BE0001023
DB00168,BE0001066
DB00168,BE0003645
DB00168,BE0000879
DB00168,BE0000779
DB00169,BE0000524
DB00169,BE0000549
DB00169,BE0003683
DB00169,BE0002638
DB00169,BE0003537
